Code;Libellé;Médiane du revenu disponible par UC 2017
200039931;CC Alpes d'Azur;19170
200039949;CC Rives de Moselle;21500
200040038;CC Saône Doubs Bresse;20740
200040095;CC Isle Vern Salembre en Périgord;19610
200040111;CC Cœur de Chartreuse;21840
200040137;CC des Lacs de Champagne;19450
200040178;CC de l'Outre-Forêt;22960
200040202;CC Provence Verdon;20080
200040210;CC Lacs et Gorges du Verdon;19230
200040244;CA du Bocage Bressuirais;19340
200040251;CC Bassée-Montois;21870
200040277;CA du Pays de Dreux;20250
200040293;CC du Clunisois;20810
200040350;CC Bugey Sud;20950
200040384;CC Isle Double Landais;18860
200040392;CA Le Grand Périgueux;20550
200040400;CC du Périgord Ribéracois;18810
200040418;CC du Pays de Serres en Quercy;17650
200040426;CC du Val de l'Oise;20180
200040442;CA Luberon Monts de Vaucluse;19600
200040459;CA Montélimar Agglomération;20460
200040475;CC Loué - Brûlon - Noyen;20110
200040491;CC Porte de Drômardèche;19880
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;19530
200040558;CC Écueillé-Valençay;18810
200040566;CA de l'Ouest Rhodanien;20340
200040574;CC Beaujolais Pierres Dorées;25530
200040590;CA Villefranche Beaujolais Saône;20700
200040624;CC Pays d'Apt-Luberon;19350
200040657;CC de la Matheysine;20990
200040681;CC Enclave des Papes-Pays de Grignan;19510
200040715;Grenoble-Alpes-Métropole;22100
200040764;CC du Sud Corse;19100
200040772;CC du Perche et Haut Vendômois;20380
200040798;CC Val Vanoise;23190
200040814;CC Briance Sud Haute Vienne;20270
200040830;CC du Pays de Fénelon;19730
200040889;CC de Portes Sud Périgord;19110
200040905;CC Carmausin-Ségala;18890
200040947;CC de Flandre Intérieure;21240
200040954;CC des Hauts de Flandre;21090
200041010;CC Cœur de Savoie;22740
200041051;CC Vallée de la Dordogne et Forêt Bessède;18560
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;18930
200041168;CC de la Vallée de l'Homme;18900
200041283;CC de la Plaine du Rhin;24900
200041317;CA du Niortais;21930
200041325;CC du Pays Rhénan;24180
200041333;CC de Parthenay-Gâtine;18970
200041366;CC Rhône Crussol;22540
200041416;CC Airvaudais-Val du Thouet;19220
200041440;CC de Domme - Villefranche du Périgord;18590
200041465;CC Val Eyrieux;19120
200041499;CC Aunis Atlantique;20650
200041507;CA La Riviera du Levant;N/A
200041515;CC du Bassin de Pont-à-Mousson;21100
200041523;CC de la Haute-Saintonge;18870
200041556;CC Portes de la Creuse en Marche;18260
200041572;CC Dronne et Belle;19770
200041614;CC Aunis Sud;20000
200041622;CC Ardennes Thiérache;18520
200041630;CA Ardenne Métropole;18810
200041689;CC des Vals de Saintonge Communauté;18790
200041721;CC de la Haute Comté;18750
200041762;CA Rochefort Océan;20210
200041788;CA du Pays Nord Martinique;16000
200041853;CC du Pays de Montbozon et du Chanois;20830
200041861;CC du Triangle Vert;20600
200041879;CC Terres de Saône;20480
200041887;CC du Val Marnaysien;21810
200041960;CC Pévèle-Carembault;24320
200041994;CC Haut Val de Sèvre;20890
200042000;CC Bruyères-Vallons des Vosges;19400
200042174;CA Lorient Agglomération;20840
200042182;CC du Mont des Avaloirs;18870
200042190;CA de la Porte du Hainaut;17720
200042372;CC des Coteaux Arrats Gimone;20950
200042414;CC Bresse Revermont 71;19820
200042463;CC de la Montagne Noire;17690
200042497;CC Dombes Saône Vallée;24780
200042604;CC de Granville, Terre et Mer;21150
200042620;CC de la Région de Suippes;20160
200042646;CC Grand Orb;18350
200042653;CC Sud-Hérault;18840
200042703;CC de l'Argonne Champenoise;19580
200042729;CC de la Baie du Cotentin;19190
200042901;CC Drôme Sud Provence;20800
200042935;CA Haut - Bugey Agglomération;19920
200042943;CC du Cap Corse;19540
200042992;CC Perthois-Bocage et Der;20820
200043016;CC Val de Charente;18370
200043065;CC du Val d'Amboise;21200
200043081;CC Chinon, Vienne et Loire;20890
200043123;CC Auray Quiberon Terre Atlantique;21460
200043156;CC du Pays Rethélois;20150
200043172;CA du Bassin de Brive;20670
200043263;CC Cœur de l'Avesnois;18740
200043321;CC du Pays de Mormal;20750
200043354;CC de Villedieu Intercom;19210
200043396;CA Maubeuge Val de Sambre;16860
200043404;CC du Sud Avesnois;16450
200043438;CC de la Moivre à la Coole;23550
200043495;CA du Pays de Laon;18870
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;19720
200043628;CC des Vallées du Clain;21780
200043693;CC Terre Lorraine du Longuyonnais;21350
200043776;CC Pyrénées Audoises;16990
200043974;CC du Sud Gironde;20010
200043982;CC du Bazadais;19360
200043990;CC Vallons de Haute-Bretagne Communauté;21190
200044014;CC Creuse Grand Sud;18090
200044030;CC des Sept Vallées;18520
200044048;CC Osartis Marquion;21100
200044253;CC du Bassin de Joinville en Champagne;18320
200044394;CC du Réolais en Sud Gironde;18620
200044469;CC du Pays de Mirepoix;18790
200044618;CA du Douaisis Agglo;18660
200044691;CA du Nord Grande Terre;N/A
200046977;Métropole de Lyon;21930
200048551;CC du Pays de Craon;19260
200049187;CA du Grand Verdun;19620
200049211;CC Conflent-Canigó;18130
200049484;CC Berry Grand Sud;18350
200050532;CC de Petite-Terre;N/A
200054781;Métropole du Grand Paris;22880
200054807;Métropole d'Aix-Marseille-Provence;20910
200055481;CC Beauce Val de Loire;20860
200055655;CA Roissy Pays de France;18660
200055887;CC Mayenne Communauté;20660
200056232;CA Communauté Paris-Saclay;25920
200056380;CA Plaine Vallée;24220
200057859;CA Cœur d'Essonne Agglomération;23380
200057958;CA Paris - Vallée de la Marne;22080
200058360;CC Entre Beauce et Perche;21710
200058477;CA Val d'Yerres Val de Seine;23030
200058485;CA Val Parisis;23950
200058519;CA Saint-Germain Boucles de Seine;28390
200058782;CA de Saint-Quentin-en-Yvelines;24150
200059228;CA Grand Paris Sud Seine Essonne Sénart;20220
200059392;CC Bièvre Isère;21270
200059400;CC Porte Océane du Limousin;20390
200059871;CC du Centre-Ouest;N/A
200059889;CU Grand Paris Seine et Oise;22270
200060010;CA Mauges Communauté;20150
200060457;CA Dembeni-Mamoudzou;N/A
200060465;CC du Nord de Mayotte;N/A
200060473;CC du Sud;N/A
200065563;CC Normandie-Cabourg-Pays d'Auge;21600
200065589;CC Val ès Dunes;21100
200065597;CU Caen la Mer;21220
200065647;CA Pays de Montbéliard Agglomération;20220
200065787;CC de Pont-Audemer / Val de Risle;20230
200065886;CA Loire Forez Agglomération;21230
200065894;CC de Forez-Est;21190
200065928;CA Lannion-Trégor Communauté;21090
200066009;CA Mulhouse Alsace Agglomération;20520
200066017;CC Lieuvin Pays d'Auge;20090
200066025;CC Pays Rhin - Brisach;23630
200066033;CC Sud Alsace Largue;23920
200066041;CC Sundgau;26910
200066058;CA Saint-Louis Agglomération;29410
200066108;CC des Portes de Meuse;20250
200066116;CC Argonne-Meuse;19620
200066124;CA Gaillac-Graulhet;19730
200066132;CC du Pays de Stenay et du Val Dunois;18990
200066140;CC de l'Aire à l'Argonne;20340
200066157;CC de Commercy - Void - Vaucouleurs;19270
200066165;CC Val de Meuse - Voie Sacrée;20230
200066173;CC de Damvillers Spincourt;19450
200066223;CC Arize Lèze;18430
200066231;CC des Portes d'Ariège Pyrénées;19230
200066280;CC du Pithiverais;20430
200066322;CC Terres des Confluences;18380
